jurisdiction,year,ipcc_code,iea_code,Product,tax_rate_incl_ex_clcu,ets_price_clcu,ets_2_price_clcu,tax_curr_code,ets_curr_code,ets_2_curr_code,tax_rate_incl_ex_usd,ets_price_usd,ets_2_price_usd,tax_rate_incl_ex_usd_k,ets_price_usd_k,ets_2_price_usd_k,tax_curr_x_rate,ets_curr_x_rate,ets_2_curr_x_rate
Sweden,1996,1A5,ABFLOW038,Coal,,,,,,,,,,,,,,,
Sweden,1996,1A5,ABFLOW038,Natural gas,,,,,,,,,,,,,,,
Sweden,1996,1A5,ABFLOW038,Oil,,,,,,,,,,,,,,,
Sweden,1996,1A5A,,Coal,,,,,,,,,,,,,,,
Sweden,1996,1A5A,,Natural gas,,,,,,,,,,,,,,,
Sweden,1996,1A5A,,Oil,,,,,,,,,,,,,,,
Sweden,1996,1A5B,,Coal,,,,,,,,,,,,,,,
Sweden,1996,1A5B,,Natural gas,,,,,,,,,,,,,,,
Sweden,1996,1A5B,,Oil,,,,,,,,,,,,,,,
Sweden,1996,1A5C,,Coal,,,,,,,,,,,,,,,
Sweden,1996,1A5C,,Natural gas,,,,,,,,,,,,,,,
Sweden,1996,1A5C,,Oil,,,,,,,,,,,,,,,
Sweden,1996,1B,,,,,,,,,,,,,,,,,
Sweden,1996,1B1,,,,,,,,,,,,,,,,,
Sweden,1996,1B1A,,,,,,,,,,,,,,,,,
Sweden,1996,1B1A1,,,,,,,,,,,,,,,,,
Sweden,1996,1B1A11,,,,,,,,,,,,,,,,,
Sweden,1996,1B1A12,,,,,,,,,,,,,,,,,
Sweden,1996,1B1A13,,,,,,,,,,,,,,,,,
Sweden,1996,1B1A14,,,,,,,,,,,,,,,,,
Sweden,1996,1B1A2,,,,,,,,,,,,,,,,,
Sweden,1996,1B1A21,,,,,,,,,,,,,,,,,
Sweden,1996,1B1A22,,,,,,,,,,,,,,,,,
Sweden,1996,1B1B,,,,,,,,,,,,,,,,,
Sweden,1996,1B2,,,,,,,,,,,,,,,,,
Sweden,1996,1B2A,,,,,,,,,,,,,,,,,
Sweden,1996,1B2A1,,,,,,,,,,,,,,,,,
Sweden,1996,1B2A2,,,,,,,,,,,,,,,,,
Sweden,1996,1B2A3,,,,,,,,,,,,,,,,,
Sweden,1996,1B2A31,,,,,,,,,,,,,,,,,
Sweden,1996,1B2A32,,,,,,,,,,,,,,,,,
Sweden,1996,1B2A33,,,,,,,,,,,,,,,,,
Sweden,1996,1B2A34,,,,,,,,,,,,,,,,,
Sweden,1996,1B2A35,,,,,,,,,,,,,,,,,
Sweden,1996,1B2A36,,,,,,,,,,,,,,,,,
Sweden,1996,1B2B,,,,,,,,,,,,,,,,,
Sweden,1996,1B2B1,,,,,,,,,,,,,,,,,
Sweden,1996,1B2B2,,,,,,,,,,,,,,,,,
Sweden,1996,1B2B3,,,,,,,,,,,,,,,,,
Sweden,1996,1B2B31,,,,,,,,,,,,,,,,,
Sweden,1996,1B2B32,,,,,,,,,,,,,,,,,
Sweden,1996,1B2B33,,,,,,,,,,,,,,,,,
Sweden,1996,1B2B34,,,,,,,,,,,,,,,,,
Sweden,1996,1B2B35,,,,,,,,,,,,,,,,,
Sweden,1996,1B2B36,,,,,,,,,,,,,,,,,
Sweden,1996,1B3,,,,,,,,,,,,,,,,,
Sweden,1996,1C,,,,,,,,,,,,,,,,,
Sweden,1996,1C1,,,,,,,,,,,,,,,,,
Sweden,1996,1C1A,,,,,,,,,,,,,,,,,
Sweden,1996,1C1B,,,,,,,,,,,,,,,,,
Sweden,1996,1C1C,,,,,,,,,,,,,,,,,
Sweden,1996,1C2,,,,,,,,,,,,,,,,,
Sweden,1996,1C2A,,,,,,,,,,,,,,,,,
Sweden,1996,1C2B,,,,,,,,,,,,,,,,,
Sweden,1996,1C3,,,,,,,,,,,,,,,,,
Sweden,1996,2,,,,,,,,,,,,,,,,,
Sweden,1996,20,,,,,,,,,,,,,,,,,
Sweden,1996,200,,,,,,,,,,,,,,,,,
Sweden,1996,2000,,,,,,,,,,,,,,,,,
Sweden,1996,20000,,,,,,,,,,,,,,,,,
Sweden,1996,200000,,,,,,,,,,,,,,,,,
Sweden,1996,2A,,,,,,,,,,,,,,,,,
Sweden,1996,2A1,,,,,,,,,,,,,,,,,
Sweden,1996,2A2,,,,,,,,,,,,,,,,,
Sweden,1996,2A3,,,,,,,,,,,,,,,,,
Sweden,1996,2A4,,,,,,,,,,,,,,,,,
Sweden,1996,2A4A,,,,,,,,,,,,,,,,,
Sweden,1996,2A4B,,,,,,,,,,,,,,,,,
Sweden,1996,2A4C,,,,,,,,,,,,,,,,,
Sweden,1996,2A4D,,,,,,,,,,,,,,,,,
Sweden,1996,2B,,,,,,,,,,,,,,,,,
Sweden,1996,2B1,,,,,,,,,,,,,,,,,
Sweden,1996,2B10,,,,,,,,,,,,,,,,,
Sweden,1996,2B2,,,,,,,,,,,,,,,,,
Sweden,1996,2B3,,,,,,,,,,,,,,,,,
Sweden,1996,2B4,,,,,,,,,,,,,,,,,
Sweden,1996,2B5,,,,,,,,,,,,,,,,,
Sweden,1996,2B6,,,,,,,,,,,,,,,,,
Sweden,1996,2B7,,,,,,,,,,,,,,,,,
Sweden,1996,2B8,,,,,,,,,,,,,,,,,
Sweden,1996,2B8A,,,,,,,,,,,,,,,,,
Sweden,1996,2B8B,,,,,,,,,,,,,,,,,
Sweden,1996,2B8C,,,,,,,,,,,,,,,,,
Sweden,1996,2B8D,,,,,,,,,,,,,,,,,
Sweden,1996,2B8E,,,,,,,,,,,,,,,,,
Sweden,1996,2B8F,,,,,,,,,,,,,,,,,
Sweden,1996,2B9,,,,,,,,,,,,,,,,,
Sweden,1996,2B9A,,,,,,,,,,,,,,,,,
Sweden,1996,2B9B,,,,,,,,,,,,,,,,,
Sweden,1996,2C,,,,,,,,,,,,,,,,,
Sweden,1996,2C1,,,,,,,,,,,,,,,,,
Sweden,1996,2C2,,,,,,,,,,,,,,,,,
Sweden,1996,2C3,,,,,,,,,,,,,,,,,
Sweden,1996,2C4,,,,,,,,,,,,,,,,,
Sweden,1996,2C5,,,,,,,,,,,,,,,,,
Sweden,1996,2C6,,,,,,,,,,,,,,,,,
Sweden,1996,2C7,,,,,,,,,,,,,,,,,
Sweden,1996,2D,,,,,,,,,,,,,,,,,
Sweden,1996,2D1,,,,,,,,,,,,,,,,,
Sweden,1996,2D2,,,,,,,,,,,,,,,,,
Sweden,1996,2D3,,,,,,,,,,,,,,,,,
Sweden,1996,2D4,,,,,,,,,,,,,,,,,
Sweden,1996,2E,,,,,,,,,,,,,,,,,
Sweden,1996,2F,,,,,,,,,,,,,,,,,
Sweden,1996,2F1,,,,,,,,,,,,,,,,,
Sweden,1996,2F2,,,,,,,,,,,,,,,,,
Sweden,1996,2F3,,,,,,,,,,,,,,,,,
Sweden,1996,2F4,,,,,,,,,,,,,,,,,
Sweden,1996,2F5,,,,,,,,,,,,,,,,,
Sweden,1996,2F6,,,,,,,,,,,,,,,,,
Sweden,1996,2G,,,,,,,,,,,,,,,,,
Sweden,1996,2G1,,,,,,,,,,,,,,,,,
Sweden,1996,2G2,,,,,,,,,,,,,,,,,
Sweden,1996,2G3,,,,,,,,,,,,,,,,,
Sweden,1996,2G4,,,,,,,,,,,,,,,,,
Sweden,1996,2H,,,,,,,,,,,,,,,,,
Sweden,1996,2H1,,,,,,,,,,,,,,,,,
Sweden,1996,2H2,,,,,,,,,,,,,,,,,
Sweden,1996,2H3,,,,,,,,,,,,,,,,,
Sweden,1996,3,,,,,,,,,,,,,,,,,
Sweden,1996,3A,,,,,,,,,,,,,,,,,
Sweden,1996,3A1,,,,,,,,,,,,,,,,,
Sweden,1996,3A2,,,,,,,,,,,,,,,,,
Sweden,1996,3B,,,,,,,,,,,,,,,,,
Sweden,1996,3B1,,,,,,,,,,,,,,,,,
Sweden,1996,3B1A,,,,,,,,,,,,,,,,,
Sweden,1996,3B1B,,,,,,,,,,,,,,,,,
Sweden,1996,3B2,,,,,,,,,,,,,,,,,
Sweden,1996,3B2A,,,,,,,,,,,,,,,,,
Sweden,1996,3B2B,,,,,,,,,,,,,,,,,
Sweden,1996,3B3,,,,,,,,,,,,,,,,,
Sweden,1996,3B3A,,,,,,,,,,,,,,,,,
Sweden,1996,3B3B,,,,,,,,,,,,,,,,,
Sweden,1996,3B4,,,,,,,,,,,,,,,,,
Sweden,1996,3B4A,,,,,,,,,,,,,,,,,
Sweden,1996,3B4B,,,,,,,,,,,,,,,,,
Sweden,1996,3B5,,,,,,,,,,,,,,,,,
Sweden,1996,3B5A,,,,,,,,,,,,,,,,,
Sweden,1996,3B5B,,,,,,,,,,,,,,,,,
Sweden,1996,3B6,,,,,,,,,,,,,,,,,
Sweden,1996,3B6A,,,,,,,,,,,,,,,,,
Sweden,1996,3B6B,,,,,,,,,,,,,,,,,
Sweden,1996,3B6B1,,,,,,,,,,,,,,,,,
Sweden,1996,3B6B2,,,,,,,,,,,,,,,,,
Sweden,1996,3B6B3,,,,,,,,,,,,,,,,,
Sweden,1996,3B6B4,,,,,,,,,,,,,,,,,
Sweden,1996,3B6B5,,,,,,,,,,,,,,,,,
Sweden,1996,3C,,,,,,,,,,,,,,,,,
Sweden,1996,3C1,,,,,,,,,,,,,,,,,
Sweden,1996,3C2,,,,,,,,,,,,,,,,,
Sweden,1996,3C3,,,,,,,,,,,,,,,,,
Sweden,1996,3C4,,,,,,,,,,,,,,,,,
Sweden,1996,3C5,,,,,,,,,,,,,,,,,
Sweden,1996,3C6,,,,,,,,,,,,,,,,,
Sweden,1996,3C7,,,,,,,,,,,,,,,,,
Sweden,1996,3C8,,,,,,,,,,,,,,,,,
Sweden,1996,3D,,,,,,,,,,,,,,,,,
Sweden,1996,3D1,,,,,,,,,,,,,,,,,
Sweden,1996,3D2,,,,,,,,,,,,,,,,,
Sweden,1996,4,,,,,,,,,,,,,,,,,
Sweden,1996,4A,,,,,,,,,,,,,,,,,
Sweden,1996,4A1,,,,,,,,,,,,,,,,,
Sweden,1996,4A2,,,,,,,,,,,,,,,,,
Sweden,1996,4A3,,,,,,,,,,,,,,,,,
Sweden,1996,4B,,,,,,,,,,,,,,,,,
Sweden,1996,4C,,,,,,,,,,,,,,,,,
Sweden,1996,4C1,,,,,,,,,,,,,,,,,
Sweden,1996,4C2,,,,,,,,,,,,,,,,,
Sweden,1996,4D,,,,,,,,,,,,,,,,,
Sweden,1996,4D1,,,,,,,,,,,,,,,,,
Sweden,1996,4D2,,,,,,,,,,,,,,,,,
Sweden,1996,4E,,,,,,,,,,,,,,,,,
Sweden,1996,5,,,,,,,,,,,,,,,,,
Sweden,1996,5A,,,,,,,,,,,,,,,,,
Sweden,1996,5A1,,,,,,,,,,,,,,,,,
Sweden,1996,5A2,,,,,,,,,,,,,,,,,
Sweden,1997,0,,,,,,,,,,,,,,,,,
Sweden,1997,1,,,,,,,,,,,,,,,,,
Sweden,1997,1A,ABFLOW001,Coal,,,,,,,,,,,,,,,
Sweden,1997,1A,ABFLOW001,Natural gas,,,,,,,,,,,,,,,
Sweden,1997,1A,ABFLOW001,Oil,,,,,,,,,,,,,,,
Sweden,1997,1A1,,Coal,,,,,,,,,,,,,,,
Sweden,1997,1A1,,Natural gas,,,,,,,,,,,,,,,
Sweden,1997,1A1,,Oil,,,,,,,,,,,,,,,
Sweden,1997,1A1A,ABFLOW002,Coal,,,,,,,,,,,,,,,
Sweden,1997,1A1A,ABFLOW002,Natural gas,,,,,,,,,,,,,,,
Sweden,1997,1A1A,ABFLOW002,Oil,,,,,,,,,,,,,,,
Sweden,1997,1A1A1,ABFLOW003,Coal,,,,,,,,,,,,,,,
Sweden,1997,1A1A1,ABFLOW003,Natural gas,,,,,,,,,,,,,,,
Sweden,1997,1A1A1,ABFLOW003,Oil,,,,,,,,,,,,,,,
Sweden,1997,1A1A2,ABFLOW004,Coal,,,,,,,,,,,,,,,
Sweden,1997,1A1A2,ABFLOW004,Natural gas,,,,,,,,,,,,,,,
Sweden,1997,1A1A2,ABFLOW004,Oil,,,,,,,,,,,,,,,
Sweden,1997,1A1A3,ABFLOW005,Coal,,,,,,,,,,,,,,,
Sweden,1997,1A1A3,ABFLOW005,Natural gas,,,,,,,,,,,,,,,
Sweden,1997,1A1A3,ABFLOW005,Oil,,,,,,,,,,,,,,,
Sweden,1997,1A1B,ABFLOW011,Coal,370.0,,,SEK,,,39.11887724593239,,,58.05452665494491,,,9.45834916666666,,
Sweden,1997,1A1B,ABFLOW011,Natural gas,370.0,,,SEK,,,39.11887724593239,,,58.05452665494491,,,9.45834916666666,,
Sweden,1997,1A1B,ABFLOW011,Oil,370.0,,,SEK,,,39.11887724593239,,,58.05452665494491,,,9.45834916666666,,
Sweden,1997,1A1C,ABFLOW011,Coal,370.0,,,SEK,,,39.11887724593239,,,58.05452665494491,,,9.45834916666666,,
Sweden,1997,1A1C,ABFLOW011,Natural gas,370.0,,,SEK,,,39.11887724593239,,,58.05452665494491,,,9.45834916666666,,
Sweden,1997,1A1C,ABFLOW011,Oil,370.0,,,SEK,,,39.11887724593239,,,58.05452665494491,,,9.45834916666666,,
Sweden,1997,1A2,ABFLOW012,Coal,,,,,,,,,,,,,,,
Sweden,1997,1A2,ABFLOW012,Natural gas,,,,,,,,,,,,,,,
Sweden,1997,1A2,ABFLOW012,Oil,,,,,,,,,,,,,,,
Sweden,1997,1A2A,ABFLOW016,Coal,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2A,ABFLOW016,Natural gas,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2A,ABFLOW016,Oil,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2B,ABFLOW018,Coal,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2B,ABFLOW018,Natural gas,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2B,ABFLOW018,Oil,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2C,ABFLOW017,Coal,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2C,ABFLOW017,Natural gas,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2C,ABFLOW017,Oil,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2D,ABFLOW023,Coal,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2D,ABFLOW023,Natural gas,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2D,ABFLOW023,Oil,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2E,ABFLOW022,Coal,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2E,ABFLOW022,Natural gas,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2E,ABFLOW022,Oil,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2F,ABFLOW019,Coal,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2F,ABFLOW019,Natural gas,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2F,ABFLOW019,Oil,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2G,ABFLOW020,Coal,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2G,ABFLOW020,Natural gas,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2G,ABFLOW020,Oil,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2H,ABFLOW021,Coal,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2H,ABFLOW021,Natural gas,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2H,ABFLOW021,Oil,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2I,ABFLOW013,Coal,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2I,ABFLOW013,Natural gas,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2I,ABFLOW013,Oil,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2J,ABFLOW024,Coal,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2J,ABFLOW024,Natural gas,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2J,ABFLOW024,Oil,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2K,ABFLOW014,Coal,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2K,ABFLOW014,Natural gas,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2K,ABFLOW014,Oil,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2L,ABFLOW025,Coal,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2L,ABFLOW025,Natural gas,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2L,ABFLOW025,Oil,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2M,ABFLOW026,Coal,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2M,ABFLOW026,Natural gas,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A2M,ABFLOW026,Oil,185.0,,,SEK,,,19.559438622966194,,,29.027263327472454,,,9.45834916666666,,
Sweden,1997,1A3,ABFLOW027,Coal,,,,,,,,,,,,,,,
Sweden,1997,1A3,ABFLOW027,Natural gas,,,,,,,,,,,,,,,
Sweden,1997,1A3,ABFLOW027,Oil,,,,,,,,,,,,,,,
Sweden,1997,1A3A,,Coal,,,,,,,,,,,,,,,
Sweden,1997,1A3A,,Natural gas,,,,,,,,,,,,,,,
Sweden,1997,1A3A,,Oil,,,,,,,,,,,,,,,
Sweden,1997,1A3A1,ABFLOW040,Coal,,,,,,,,,,,,,,,
Sweden,1997,1A3A1,ABFLOW040,Natural gas,,,,,,,,,,,,,,,
Sweden,1997,1A3A1,ABFLOW040,Oil,,,,,,,,,,,,,,,
Sweden,1997,1A3A2,ABFLOW029,Coal,,,,,,,,,,,,,,,
Sweden,1997,1A3A2,ABFLOW029,Natural gas,,,,,,,,,,,,,,,
Sweden,1997,1A3A2,ABFLOW029,Oil,,,,,,,,,,,,,,,
Sweden,1997,1A3B,ABFLOW028,Coal,370.0,,,SEK,,,39.11887724593239,,,58.05452665494491,,,9.45834916666666,,
Sweden,1997,1A3B,ABFLOW028,Natural gas,370.0,,,SEK,,,39.11887724593239,,,58.05452665494491,,,9.45834916666666,,
Sweden,1997,1A3B,ABFLOW028,Oil,370.0,,,SEK,,,39.11887724593239,,,58.05452665494491,,,9.45834916666666,,
Sweden,1997,1A3C,ABFLOW030,Coal,,,,,,,,,,,,,,,
Sweden,1997,1A3C,ABFLOW030,Natural gas,,,,,,,,,,,,,,,
Sweden,1997,1A3C,ABFLOW030,Oil,,,,,,,,,,,,,,,
Sweden,1997,1A3D,,Coal,,,,,,,,,,,,,,,
Sweden,1997,1A3D,,Natural gas,,,,,,,,,,,,,,,
Sweden,1997,1A3D,,Oil,,,,,,,,,,,,,,,
Sweden,1997,1A3D1,ABFLOW039,Coal,,,,,,,,,,,,,,,
Sweden,1997,1A3D1,ABFLOW039,Natural gas,,,,,,,,,,,,,,,
Sweden,1997,1A3D1,ABFLOW039,Oil,,,,,,,,,,,,,,,
Sweden,1997,1A3D2,ABFLOW032,Coal,,,,,,,,,,,,,,,
Sweden,1997,1A3D2,ABFLOW032,Natural gas,,,,,,,,,,,,,,,
Sweden,1997,1A3D2,ABFLOW032,Oil,,,,,,,,,,,,,,,
Sweden,1997,1A3E,,Coal,,,,,,,,,,,,,,,
Sweden,1997,1A3E,,Natural gas,,,,,,,,,,,,,,,
Sweden,1997,1A3E,,Oil,,,,,,,,,,,,,,,
Sweden,1997,1A3E1,ABFLOW033,Coal,,,,,,,,,,,,,,,
Sweden,1997,1A3E1,ABFLOW033,Natural gas,,,,,,,,,,,,,,,
Sweden,1997,1A3E1,ABFLOW033,Oil,,,,,,,,,,,,,,,
Sweden,1997,1A4,,Coal,,,,,,,,,,,,,,,
Sweden,1997,1A4,,Natural gas,,,,,,,,,,,,,,,
Sweden,1997,1A4,,Oil,,,,,,,,,,,,,,,
Sweden,1997,1A4A,ABFLOW035,Coal,370.0,,,SEK,,,39.11887724593239,,,58.05452665494491,,,9.45834916666666,,
Sweden,1997,1A4A,ABFLOW035,Natural gas,370.0,,,SEK,,,39.11887724593239,,,58.05452665494491,,,9.45834916666666,,
Sweden,1997,1A4A,ABFLOW035,Oil,370.0,,,SEK,,,39.11887724593239,,,58.05452665494491,,,9.45834916666666,,
Sweden,1997,1A4B,ABFLOW034,Coal,370.0,,,SEK,,,39.11887724593239,,,58.05452665494491,,,9.45834916666666,,
Sweden,1997,1A4B,ABFLOW034,Natural gas,370.0,,,SEK,,,39.11887724593239,,,58.05452665494491,,,9.45834916666666,,
Sweden,1997,1A4B,ABFLOW034,Oil,370.0,,,SEK,,,39.11887724593239,,,58.05452665494491,,,9.45834916666666,,
Sweden,1997,1A4C,,Coal,,,,,,,,,,,,,,,
Sweden,1997,1A4C,,Natural gas,,,,,,,,,,,,,,,
Sweden,1997,1A4C,,Oil,,,,,,,,,,,,,,,
Sweden,1997,1A4C1,ABFLOW036,Coal,370.0,,,SEK,,,39.11887724593239,,,58.05452665494491,,,9.45834916666666,,
Sweden,1997,1A4C1,ABFLOW036,Natural gas,370.0,,,SEK,,,39.11887724593239,,,58.05452665494491,,,9.45834916666666,,
Sweden,1997,1A4C1,ABFLOW036,Oil,370.0,,,SEK,,,39.11887724593239,,,58.05452665494491,,,9.45834916666666,,
Sweden,1997,1A4C2,ABFLOW037,Coal,370.0,,,SEK,,,39.11887724593239,,,58.05452665494491,,,9.45834916666666,,
Sweden,1997,1A4C2,ABFLOW037,Natural gas,370.0,,,SEK,,,39.11887724593239,,,58.05452665494491,,,9.45834916666666,,
Sweden,1997,1A4C2,ABFLOW037,Oil,370.0,,,SEK,,,39.11887724593239,,,58.05452665494491,,,9.45834916666666,,
Sweden,1997,1A4C3,,Coal,,,,,,,,,,,,,,,
Sweden,1997,1A4C3,,Natural gas,,,,,,,,,,,,,,,
Sweden,1997,1A4C3,,Oil,,,,,,,,,,,,,,,
Sweden,1997,1A5,ABFLOW038,Coal,,,,,,,,,,,,,,,
Sweden,1997,1A5,ABFLOW038,Natural gas,,,,,,,,,,,,,,,
Sweden,1997,1A5,ABFLOW038,Oil,,,,,,,,,,,,,,,
Sweden,1997,1A5A,,Coal,,,,,,,,,,,,,,,
Sweden,1997,1A5A,,Natural gas,,,,,,,,,,,,,,,
Sweden,1997,1A5A,,Oil,,,,,,,,,,,,,,,
Sweden,1997,1A5B,,Coal,,,,,,,,,,,,,,,
Sweden,1997,1A5B,,Natural gas,,,,,,,,,,,,,,,
Sweden,1997,1A5B,,Oil,,,,,,,,,,,,,,,
Sweden,1997,1A5C,,Coal,,,,,,,,,,,,,,,
Sweden,1997,1A5C,,Natural gas,,,,,,,,,,,,,,,
Sweden,1997,1A5C,,Oil,,,,,,,,,,,,,,,
Sweden,1997,1B,,,,,,,,,,,,,,,,,
Sweden,1997,1B1,,,,,,,,,,,,,,,,,
Sweden,1997,1B1A,,,,,,,,,,,,,,,,,
Sweden,1997,1B1A1,,,,,,,,,,,,,,,,,
Sweden,1997,1B1A11,,,,,,,,,,,,,,,,,
Sweden,1997,1B1A12,,,,,,,,,,,,,,,,,
Sweden,1997,1B1A13,,,,,,,,,,,,,,,,,
Sweden,1997,1B1A14,,,,,,,,,,,,,,,,,
Sweden,1997,1B1A2,,,,,,,,,,,,,,,,,
Sweden,1997,1B1A21,,,,,,,,,,,,,,,,,
Sweden,1997,1B1A22,,,,,,,,,,,,,,,,,
Sweden,1997,1B1B,,,,,,,,,,,,,,,,,
Sweden,1997,1B2,,,,,,,,,,,,,,,,,
Sweden,1997,1B2A,,,,,,,,,,,,,,,,,
Sweden,1997,1B2A1,,,,,,,,,,,,,,,,,
Sweden,1997,1B2A2,,,,,,,,,,,,,,,,,
Sweden,1997,1B2A3,,,,,,,,,,,,,,,,,
Sweden,1997,1B2A31,,,,,,,,,,,,,,,,,
Sweden,1997,1B2A32,,,,,,,,,,,,,,,,,
Sweden,1997,1B2A33,,,,,,,,,,,,,,,,,
Sweden,1997,1B2A34,,,,,,,,,,,,,,,,,
Sweden,1997,1B2A35,,,,,,,,,,,,,,,,,
Sweden,1997,1B2A36,,,,,,,,,,,,,,,,,
Sweden,1997,1B2B,,,,,,,,,,,,,,,,,
Sweden,1997,1B2B1,,,,,,,,,,,,,,,,,
Sweden,1997,1B2B2,,,,,,,,,,,,,,,,,
Sweden,1997,1B2B3,,,,,,,,,,,,,,,,,
Sweden,1997,1B2B31,,,,,,,,,,,,,,,,,
Sweden,1997,1B2B32,,,,,,,,,,,,,,,,,
Sweden,1997,1B2B33,,,,,,,,,,,,,,,,,
Sweden,1997,1B2B34,,,,,,,,,,,,,,,,,
Sweden,1997,1B2B35,,,,,,,,,,,,,,,,,
Sweden,1997,1B2B36,,,,,,,,,,,,,,,,,
Sweden,1997,1B3,,,,,,,,,,,,,,,,,
Sweden,1997,1C,,,,,,,,,,,,,,,,,
Sweden,1997,1C1,,,,,,,,,,,,,,,,,
Sweden,1997,1C1A,,,,,,,,,,,,,,,,,
Sweden,1997,1C1B,,,,,,,,,,,,,,,,,
Sweden,1997,1C1C,,,,,,,,,,,,,,,,,
Sweden,1997,1C2,,,,,,,,,,,,,,,,,
Sweden,1997,1C2A,,,,,,,,,,,,,,,,,
Sweden,1997,1C2B,,,,,,,,,,,,,,,,,
Sweden,1997,1C3,,,,,,,,,,,,,,,,,
Sweden,1997,2,,,,,,,,,,,,,,,,,
Sweden,1997,20,,,,,,,,,,,,,,,,,
Sweden,1997,200,,,,,,,,,,,,,,,,,
Sweden,1997,2000,,,,,,,,,,,,,,,,,
Sweden,1997,20000,,,,,,,,,,,,,,,,,
Sweden,1997,200000,,,,,,,,,,,,,,,,,
Sweden,1997,2A,,,,,,,,,,,,,,,,,
Sweden,1997,2A1,,,,,,,,,,,,,,,,,
Sweden,1997,2A2,,,,,,,,,,,,,,,,,
Sweden,1997,2A3,,,,,,,,,,,,,,,,,
Sweden,1997,2A4,,,,,,,,,,,,,,,,,
Sweden,1997,2A4A,,,,,,,,,,,,,,,,,
Sweden,1997,2A4B,,,,,,,,,,,,,,,,,
Sweden,1997,2A4C,,,,,,,,,,,,,,,,,
